Brand,Style,Colour,Size,Description,PLU,EAN,SKU,Comm Code,
ASHWOOD,007,BLK/BLUE,S,ladies gloves,0002875800,,,,
ASHWOOD,007,BLK/BLUE,M,ladies gloves,0002875801,,,,
ASHWOOD,007,BLK/BLUE,L,ladies gloves,0002875802,,,,
ASHWOOD,007,BLK/BLUE,XL,ladies gloves,0002875803,,,,
ASHWOOD,007,BLK/PURPLE,S,ladies gloves,0002876200,,,,
ASHWOOD,007,BLK/PURPLE,M,ladies gloves,0002876201,,,,
ASHWOOD,007,BLK/PURPLE,L,ladies gloves,0002876202,,,,
ASHWOOD,007,BLK/PURPLE,XL,ladies gloves,0002876203,,,,
ASHWOOD,007,BLK/TAUPE,S,ladies gloves,0002875400,,,,
ASHWOOD,007,BLK/TAUPE,M,ladies gloves,0002875401,,,,
ASHWOOD,007,BLK/TAUPE,L,ladies gloves,0002875402,,,,
ASHWOOD,007,BLK/TAUPE,XL,ladies gloves,0002875403,,,,
ASHWOOD,010B,BLACK,XXXS,baseball cap fleece,0003567000,,,,
ASHWOOD,010B,BLACK,XXS,baseball cap fleece,0003567001,,,,
ASHWOOD,010B,BLACK,XS,baseball cap fleece,0003567002,,,,
ASHWOOD,010B,BLACK,S,baseball cap fleece,0003567003,,,,
ASHWOOD,010B,BLACK,M,baseball cap fleece,0003567004,,,,
ASHWOOD,010B,BLACK,L,baseball cap fleece,0003567005,,,,
ASHWOOD,010B,BLACK,XL,baseball cap fleece,0003567006,,,,
ASHWOOD,010B,BLACK,2XL,baseball cap fleece,0003567007,,,,
ASHWOOD,010B,BLACK,3XL,baseball cap fleece,0003567008,,,,
ASHWOOD,010B,BLACK,4XL,baseball cap fleece,0003567009,,,,
ASHWOOD,010B,BLACK,5XL,baseball cap fleece,0003567010,,,,
ASHWOOD,010B,BLACK,6XL,baseball cap fleece,0003567011,,,,
ASHWOOD,010B,BLACK,7XL,baseball cap fleece,0003567012,,,,
ASHWOOD,010B,BLACK,8XL,baseball cap fleece,0003567013,,,,
ASHWOOD,010B,BLACK,9XL,baseball cap fleece,0003567014,,,,
ASHWOOD,010B,BROWN,XXXS,baseball cap fleece,0003568500,,,,
ASHWOOD,010B,BROWN,XXS,baseball cap fleece,0003568501,,,,
ASHWOOD,010B,BROWN,XS,baseball cap fleece,0003568502,,,,
ASHWOOD,010B,BROWN,S,baseball cap fleece,0003568503,,,,
ASHWOOD,010B,BROWN,M,baseball cap fleece,0003568504,,,,
ASHWOOD,010B,BROWN,L,baseball cap fleece,0003568505,,,,
ASHWOOD,010B,BROWN,XL,baseball cap fleece,0003568506,,,,
ASHWOOD,010B,BROWN,2XL,baseball cap fleece,0003568507,,,,
ASHWOOD,010B,BROWN,3XL,baseball cap fleece,0003568508,,,,
ASHWOOD,010B,BROWN,4XL,baseball cap fleece,0003568509,,,,
ASHWOOD,010B,BROWN,5XL,baseball cap fleece,0003568510,,,,
ASHWOOD,010B,BROWN,6XL,baseball cap fleece,0003568511,,,,
ASHWOOD,010B,BROWN,7XL,baseball cap fleece,0003568512,,,,
ASHWOOD,010B,BROWN,8XL,baseball cap fleece,0003568513,,,,
ASHWOOD,010B,BROWN,9XL,baseball cap fleece,0003568514,,,,
ASHWOOD,010B-S,BLACK,XXXS,baseball s/skin cap,0003573000,,,,
ASHWOOD,010B-S,BLACK,XXS,baseball s/skin cap,0003573001,,,,
ASHWOOD,010B-S,BLACK,XS,baseball s/skin cap,0003573002,,,,
ASHWOOD,010B-S,BLACK,S,baseball s/skin cap,0003573003,,,,
ASHWOOD,010B-S,BLACK,M,baseball s/skin cap,0003573004,,,,
ASHWOOD,010B-S,BLACK,L,baseball s/skin cap,0003573005,,,,
ASHWOOD,010B-S,BLACK,XL,baseball s/skin cap,0003573006,,,,
ASHWOOD,010B-S,BLACK,2XL,baseball s/skin cap,0003573007,,,,
ASHWOOD,010B-S,BLACK,3XL,baseball s/skin cap,0003573008,,,,
ASHWOOD,010B-S,BLACK,4XL,baseball s/skin cap,0003573009,,,,
ASHWOOD,010B-S,BLACK,5XL,baseball s/skin cap,0003573010,,,,
ASHWOOD,010B-S,BLACK,6XL,baseball s/skin cap,0003573011,,,,
ASHWOOD,010B-S,BLACK,7XL,baseball s/skin cap,0003573012,,,,
ASHWOOD,010B-S,BLACK,8XL,baseball s/skin cap,0003573013,,,,
ASHWOOD,010B-S,BLACK,9XL,baseball s/skin cap,0003573014,,,,
ASHWOOD,010B-S,BROWN,XXXS,baseball s/skin cap,0003574500,,,,
ASHWOOD,010B-S,BROWN,XXS,baseball s/skin cap,0003574501,,,,
ASHWOOD,010B-S,BROWN,XS,baseball s/skin cap,0003574502,,,,
ASHWOOD,010B-S,BROWN,S,baseball s/skin cap,0003574503,,,,
ASHWOOD,010B-S,BROWN,M,baseball s/skin cap,0003574504,,,,
ASHWOOD,010B-S,BROWN,L,baseball s/skin cap,0003574505,,,,
ASHWOOD,010B-S,BROWN,XL,baseball s/skin cap,0003574506,,,,
ASHWOOD,010B-S,BROWN,2XL,baseball s/skin cap,0003574507,,,,
ASHWOOD,010B-S,BROWN,3XL,baseball s/skin cap,0003574508,,,,
ASHWOOD,010B-S,BROWN,4XL,baseball s/skin cap,0003574509,,,,
ASHWOOD,010B-S,BROWN,5XL,baseball s/skin cap,0003574510,,,,
ASHWOOD,010B-S,BROWN,6XL,baseball s/skin cap,0003574511,,,,
ASHWOOD,010B-S,BROWN,7XL,baseball s/skin cap,0003574512,,,,
ASHWOOD,010B-S,BROWN,8XL,baseball s/skin cap,0003574513,,,,
ASHWOOD,010B-S,BROWN,9XL,baseball s/skin cap,0003574514,,,,
ASHWOOD,018S,BLACK/BRISSA,XXXS,s/skin hat,0004077300,,,,
ASHWOOD,018S,BLACK/BRISSA,XXS,s/skin hat,0004077301,,,,
ASHWOOD,018S,BLACK/BRISSA,XS,s/skin hat,0004077302,,,,
ASHWOOD,018S,BLACK/BRISSA,S,s/skin hat,0004077303,,,,
ASHWOOD,018S,BLACK/BRISSA,M,s/skin hat,0004077304,,,,
ASHWOOD,018S,BLACK/BRISSA,L,s/skin hat,0004077305,,,,
ASHWOOD,018S,BLACK/BRISSA,XL,s/skin hat,0004077306,,,,
ASHWOOD,018S,BLACK/BRISSA,2XL,s/skin hat,0004077307,,,,
ASHWOOD,018S,BLACK/BRISSA,3XL,s/skin hat,0004077308,,,,
ASHWOOD,018S,BLACK/BRISSA,4XL,s/skin hat,0004077309,,,,
ASHWOOD,018S,BLACK/BRISSA,5XL,s/skin hat,0004077310,,,,
ASHWOOD,018S,BLACK/BRISSA,6XL,s/skin hat,0004077311,,,,
ASHWOOD,018S,BLACK/BRISSA,7XL,s/skin hat,0004077312,,,,
ASHWOOD,018S,BLACK/BRISSA,8XL,s/skin hat,0004077313,,,,
ASHWOOD,018S,BLACK/BRISSA,9XL,s/skin hat,0004077314,,,,
ASHWOOD,018S,BROWN/BRISSA,XXXS,s/skin hat,0003565500,,,,
ASHWOOD,018S,BROWN/BRISSA,XXS,s/skin hat,0003565501,,,,
ASHWOOD,018S,BROWN/BRISSA,XS,s/skin hat,0003565502,,,,
ASHWOOD,018S,BROWN/BRISSA,S,s/skin hat,0003565503,,,,
ASHWOOD,018S,BROWN/BRISSA,M,s/skin hat,0003565504,,,,
