Product List Export Only,,,,,,,,,,,,,Date Range 01/07/2007 to 03/07/2026,,,,
Brand,Style,Colour,Size,Description,VAT Rate,Cost,Retail,Season,Supplier,Category,Department,CommCode,,Barcode,SKU,PLU,FashBCode
ASHWOOD,007,BLK/BLUE,S,ladies gloves,20.00,0.00,29.99,NO SEASON,FONZ LEATHER STYLES,GLOVES,LADIES,,,,,0002875800,9900028758000
ASHWOOD,007,BLK/BLUE,M,ladies gloves,20.00,0.00,29.99,NO SEASON,FONZ LEATHER STYLES,GLOVES,LADIES,,,,,0002875801,9900028758017
ASHWOOD,007,BLK/BLUE,L,ladies gloves,20.00,0.00,29.99,NO SEASON,FONZ LEATHER STYLES,GLOVES,LADIES,,,,,0002875802,9900028758024
ASHWOOD,007,BLK/BLUE,XL,ladies gloves,20.00,0.00,29.99,NO SEASON,FONZ LEATHER STYLES,GLOVES,LADIES,,,,,0002875803,9900028758031
ASHWOOD,007,BLK/PURPLE,S,ladies gloves,20.00,0.00,29.99,NO SEASON,FONZ LEATHER STYLES,GLOVES,LADIES,,,,,0002876200,9900028762007
ASHWOOD,007,BLK/PURPLE,M,ladies gloves,20.00,0.00,29.99,NO SEASON,FONZ LEATHER STYLES,GLOVES,LADIES,,,,,0002876201,9900028762014
ASHWOOD,007,BLK/PURPLE,L,ladies gloves,20.00,0.00,29.99,NO SEASON,FONZ LEATHER STYLES,GLOVES,LADIES,,,,,0002876202,9900028762021
ASHWOOD,007,BLK/PURPLE,XL,ladies gloves,20.00,0.00,29.99,NO SEASON,FONZ LEATHER STYLES,GLOVES,LADIES,,,,,0002876203,9900028762038
ASHWOOD,007,BLK/TAUPE,S,ladies gloves,20.00,0.00,29.99,NO SEASON,FONZ LEATHER STYLES,GLOVES,LADIES,,,,,0002875400,9900028754002
ASHWOOD,007,BLK/TAUPE,M,ladies gloves,20.00,0.00,29.99,NO SEASON,FONZ LEATHER STYLES,GLOVES,LADIES,,,,,0002875401,9900028754019
ASHWOOD,007,BLK/TAUPE,L,ladies gloves,20.00,0.00,29.99,NO SEASON,FONZ LEATHER STYLES,GLOVES,LADIES,,,,,0002875402,9900028754026
ASHWOOD,007,BLK/TAUPE,XL,ladies gloves,20.00,0.00,29.99,NO SEASON,FONZ LEATHER STYLES,GLOVES,LADIES,,,,,0002875403,9900028754033
ASHWOOD,010B,BLACK,XXXS,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003567000,9900035670005
ASHWOOD,010B,BLACK,XXS,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003567001,9900035670012
ASHWOOD,010B,BLACK,XS,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003567002,9900035670029
ASHWOOD,010B,BLACK,S,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003567003,9900035670036
ASHWOOD,010B,BLACK,M,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003567004,9900035670043
ASHWOOD,010B,BLACK,L,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003567005,9900035670050
ASHWOOD,010B,BLACK,XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003567006,9900035670067
ASHWOOD,010B,BLACK,2XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003567007,9900035670074
ASHWOOD,010B,BLACK,3XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003567008,9900035670081
ASHWOOD,010B,BLACK,4XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003567009,9900035670098
ASHWOOD,010B,BLACK,5XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003567010,9900035670104
ASHWOOD,010B,BLACK,6XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003567011,9900035670111
ASHWOOD,010B,BLACK,7XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003567012,9900035670128
ASHWOOD,010B,BLACK,8XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003567013,9900035670135
ASHWOOD,010B,BLACK,9XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003567014,9900035670142
ASHWOOD,010B,BROWN,XXXS,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568500,9900035685009
ASHWOOD,010B,BROWN,XXS,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568501,9900035685016
ASHWOOD,010B,BROWN,XS,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568502,9900035685023
ASHWOOD,010B,BROWN,S,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568503,9900035685030
ASHWOOD,010B,BROWN,M,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568504,9900035685047
ASHWOOD,010B,BROWN,L,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568505,9900035685054
ASHWOOD,010B,BROWN,XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568506,9900035685061
ASHWOOD,010B,BROWN,2XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568507,9900035685078
ASHWOOD,010B,BROWN,3XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568508,9900035685085
ASHWOOD,010B,BROWN,4XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568509,9900035685092
ASHWOOD,010B,BROWN,5XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568510,9900035685108
ASHWOOD,010B,BROWN,6XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568511,9900035685115
ASHWOOD,010B,BROWN,7XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568512,9900035685122
ASHWOOD,010B,BROWN,8XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568513,9900035685139
ASHWOOD,010B,BROWN,9XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568514,9900035685146
