PLU,Style,Colour,Size,EAN,Pick Location,ImageURL,FashBCode
0002875800,007,BLK/BLUE,S,-,C-03E,https://www.leathercompany.co.uk/images/products/1513267426-88502900.png,9900028758000
0002875801,007,BLK/BLUE,M,-,C-03E,https://www.leathercompany.co.uk/images/products/1513267426-88502900.png,9900028758017
0002875802,007,BLK/BLUE,L,-,C-03E,https://www.leathercompany.co.uk/images/products/1513267426-88502900.png,9900028758024
0002875803,007,BLK/BLUE,XL,-,,,9900028758031
0002876200,007,BLK/PURPLE,S,-,C-03E,https://www.leathercompany.co.uk/images/products/1513267500-29081600.png,9900028762007
0002876201,007,BLK/PURPLE,M,-,C-03E,https://www.leathercompany.co.uk/images/products/1513267500-29081600.png,9900028762014
0002876202,007,BLK/PURPLE,L,-,C-03E,https://www.leathercompany.co.uk/images/products/1513267500-29081600.png,9900028762021
0002876203,007,BLK/PURPLE,XL,-,,,9900028762038
0002875400,007,BLK/TAUPE,S,-,C-03E,https://www.leathercompany.co.uk/images/products/1513267703-59766400.png,9900028754002
0002875401,007,BLK/TAUPE,M,-,C-03E,https://www.leathercompany.co.uk/images/products/1513267703-59766400.png,9900028754019
0002875402,007,BLK/TAUPE,L,-,C-03E,https://www.leathercompany.co.uk/images/products/1513267703-59766400.png,9900028754026
0002875403,007,BLK/TAUPE,XL,-,,,9900028754033
0003567000,010B,BLACK,XXXS,-,,,9900035670005
0003567001,010B,BLACK,XXS,-,,,9900035670012
0003567002,010B,BLACK,XS,-,,,9900035670029
0003567003,010B,BLACK,S,-,,,9900035670036
0003567004,010B,BLACK,M,-,E-21C/22C,https://www.leathercompany.co.uk/images/products/1556712535-36325900.jpg,9900035670043
0003567005,010B,BLACK,L,-,E-21C/22C,https://www.leathercompany.co.uk/images/products/1556712535-36325900.jpg,9900035670050
0003567006,010B,BLACK,XL,-,E-21C/22C,https://www.leathercompany.co.uk/images/products/1556712535-36325900.jpg,9900035670067
0003567007,010B,BLACK,2XL,-,E-21C/22C,https://www.leathercompany.co.uk/images/products/1556712535-36325900.jpg,9900035670074
0003567008,010B,BLACK,3XL,-,,,9900035670081
0003567009,010B,BLACK,4XL,-,,,9900035670098
0003567010,010B,BLACK,5XL,-,,,9900035670104
0003567011,010B,BLACK,6XL,-,,,9900035670111
0003567012,010B,BLACK,7XL,-,,,9900035670128
0003567013,010B,BLACK,8XL,-,,,9900035670135
0003567014,010B,BLACK,9XL,-,,,9900035670142
0003568500,010B,BROWN,XXXS,-,,,9900035685009
0003568501,010B,BROWN,XXS,-,,,9900035685016
0003568502,010B,BROWN,XS,-,,,9900035685023
0003568503,010B,BROWN,S,-,,,9900035685030
0003568504,010B,BROWN,M,-,E-21C/22C,https://www.leathercompany.co.uk/images/products/1556712731-67476400.jpg,9900035685047
0003568505,010B,BROWN,L,-,E-21C/22C,https://www.leathercompany.co.uk/images/products/1556712731-67476400.jpg,9900035685054
0003568506,010B,BROWN,XL,-,E-21C/22C,https://www.leathercompany.co.uk/images/products/1556712731-67476400.jpg,9900035685061
0003568507,010B,BROWN,2XL,-,E-21C/22C,https://www.leathercompany.co.uk/images/products/1556712731-67476400.jpg,9900035685078
0003568508,010B,BROWN,3XL,-,,,9900035685085
0003568509,010B,BROWN,4XL,-,,,9900035685092
0003568510,010B,BROWN,5XL,-,,,9900035685108
0003568511,010B,BROWN,6XL,-,,,9900035685115
0003568512,010B,BROWN,7XL,-,,,9900035685122
0003568513,010B,BROWN,8XL,-,,,9900035685139
0003568514,010B,BROWN,9XL,-,,,9900035685146
0003573000,010B-S,BLACK,XXXS,-,,,9900035730006
0003573001,010B-S,BLACK,XXS,-,,,9900035730013
0003573002,010B-S,BLACK,XS,-,,,9900035730020
0003573003,010B-S,BLACK,S,-,,,9900035730037
0003573004,010B-S,BLACK,M,-,,https://www.leathercompany.co.uk/images/products/1556714187-55628700.jpg,9900035730044
0003573005,010B-S,BLACK,L,-,,https://www.leathercompany.co.uk/images/products/1556714187-55628700.jpg,9900035730051
0003573006,010B-S,BLACK,XL,-,,https://www.leathercompany.co.uk/images/products/1556714187-55628700.jpg,9900035730068
0003573007,010B-S,BLACK,2XL,-,,https://www.leathercompany.co.uk/images/products/1556714187-55628700.jpg,9900035730075
0003573008,010B-S,BLACK,3XL,-,,,9900035730082
0003573009,010B-S,BLACK,4XL,-,,,9900035730099
0003573010,010B-S,BLACK,5XL,-,,,9900035730105
0003573011,010B-S,BLACK,6XL,-,,,9900035730112
0003573012,010B-S,BLACK,7XL,-,,,9900035730129
0003573013,010B-S,BLACK,8XL,-,,,9900035730136
0003573014,010B-S,BLACK,9XL,-,,,9900035730143
0003574500,010B-S,BROWN,XXXS,-,,,9900035745000
0003574501,010B-S,BROWN,XXS,-,,,9900035745017
0003574502,010B-S,BROWN,XS,-,,,9900035745024
0003574503,010B-S,BROWN,S,-,,,9900035745031
0003574504,010B-S,BROWN,M,-,,https://www.leathercompany.co.uk/images/products/1556714292-09756000.jpg,9900035745048
0003574505,010B-S,BROWN,L,-,,https://www.leathercompany.co.uk/images/products/1556714292-09756000.jpg,9900035745055
0003574506,010B-S,BROWN,XL,-,,https://www.leathercompany.co.uk/images/products/1556714292-09756000.jpg,9900035745062
0003574507,010B-S,BROWN,2XL,-,,https://www.leathercompany.co.uk/images/products/1556714292-09756000.jpg,9900035745079
0003574508,010B-S,BROWN,3XL,-,,,9900035745086
0003574509,010B-S,BROWN,4XL,-,,,9900035745093
0003574510,010B-S,BROWN,5XL,-,,,9900035745109
0003574511,010B-S,BROWN,6XL,-,,,9900035745116
0003574512,010B-S,BROWN,7XL,-,,,9900035745123
0003574513,010B-S,BROWN,8XL,-,,,9900035745130
0003574514,010B-S,BROWN,9XL,-,,,9900035745147
0004077300,018S,BLACK/BRISSA,XXXS,-,,,9900040773005
0004077301,018S,BLACK/BRISSA,XXS,-,,,9900040773012
0004077302,018S,BLACK/BRISSA,XS,-,,,9900040773029
0004077303,018S,BLACK/BRISSA,S,-,,,9900040773036
0004077304,018S,BLACK/BRISSA,M,-,E-24B/25B,https://www.leathercompany.co.uk/images/products/1606578113-88964200.jpg,9900040773043
0004077305,018S,BLACK/BRISSA,L,-,E-24B/25B,https://www.leathercompany.co.uk/images/products/1606578113-88964200.jpg,9900040773050
0004077306,018S,BLACK/BRISSA,XL,-,E-24B/25B,https://www.leathercompany.co.uk/images/products/1606578113-88964200.jpg,9900040773067
0004077307,018S,BLACK/BRISSA,2XL,-,,,9900040773074
0004077308,018S,BLACK/BRISSA,3XL,-,,,9900040773081
0004077309,018S,BLACK/BRISSA,4XL,-,,,9900040773098
0004077310,018S,BLACK/BRISSA,5XL,-,,,9900040773104
0004077311,018S,BLACK/BRISSA,6XL,-,,,9900040773111
0004077312,018S,BLACK/BRISSA,7XL,-,,,9900040773128
0004077313,018S,BLACK/BRISSA,8XL,-,,,9900040773135
0004077314,018S,BLACK/BRISSA,9XL,-,,,9900040773142
0003565500,018S,BROWN/BRISSA,XXXS,-,,,9900035655002
0003565501,018S,BROWN/BRISSA,XXS,-,,,9900035655019
0003565502,018S,BROWN/BRISSA,XS,-,,,9900035655026
0003565503,018S,BROWN/BRISSA,S,-,,,9900035655033
0003565504,018S,BROWN/BRISSA,M,-,E-24B/25B,https://www.leathercompany.co.uk/images/products/1556722077-00797000.jpg,9900035655040
0003565505,018S,BROWN/BRISSA,L,-,E-24B/25B,https://www.leathercompany.co.uk/images/products/1556722077-00797000.jpg,9900035655057
0003565506,018S,BROWN/BRISSA,XL,-,E-24B/25B,https://www.leathercompany.co.uk/images/products/1556722077-00797000.jpg,9900035655064
0003565507,018S,BROWN/BRISSA,2XL,-,E-24B/25B,https://www.leathercompany.co.uk/images/products/1556722077-00797000.jpg,9900035655071
0003565508,018S,BROWN/BRISSA,3XL,-,,,9900035655088
0003565509,018S,BROWN/BRISSA,4XL,-,,,9900035655095
0003565510,018S,BROWN/BRISSA,5XL,-,,,9900035655101
0003565511,018S,BROWN/BRISSA,6XL,-,,,9900035655118
0003565512,018S,BROWN/BRISSA,7XL,-,,,9900035655125
0003565513,018S,BROWN/BRISSA,8XL,-,,,9900035655132
0003565514,018S,BROWN/BRISSA,9XL,-,,,9900035655149
0004085300,018S,TAN/BRN,XXXS,-,,,9900040853004
0004085301,018S,TAN/BRN,XXS,-,,,9900040853011
0004085302,018S,TAN/BRN,XS,-,,,9900040853028
0004085303,018S,TAN/BRN,S,-,,,9900040853035
0004085304,018S,TAN/BRN,M,-,E-24B/25B,https://www.leathercompany.co.uk/images/products/1607776977-68630100.jpg,9900040853042
0004085305,018S,TAN/BRN,L,-,E-24B/25B,https://www.leathercompany.co.uk/images/products/1607776977-68630100.jpg,9900040853059
0004085306,018S,TAN/BRN,XL,-,E-24B/25B,https://www.leathercompany.co.uk/images/products/1607776977-68630100.jpg,9900040853066
0004085307,018S,TAN/BRN,2XL,-,,,9900040853073
0004085308,018S,TAN/BRN,3XL,-,,,9900040853080
0004085309,018S,TAN/BRN,4XL,-,,,9900040853097
0004085310,018S,TAN/BRN,5XL,-,,,9900040853103
0004085311,018S,TAN/BRN,6XL,-,,,9900040853110
0004085312,018S,TAN/BRN,7XL,-,,,9900040853127
0004085313,018S,TAN/BRN,8XL,-,,,9900040853134
0004085314,018S,TAN/BRN,9XL,-,,,9900040853141
0000917100,025 HAT,BLACK,XXXS,-,,,9900009171002
0000917101,025 HAT,BLACK,XXS,-,,,9900009171019
0000917102,025 HAT,BLACK,XS,-,,,9900009171026
0000917103,025 HAT,BLACK,S,-,,,9900009171033
0000917104,025 HAT,BLACK,M,-,,,9900009171040
0000917105,025 HAT,BLACK,L,-,,,9900009171057
0000917106,025 HAT,BLACK,XL,-,,,9900009171064
0000917107,025 HAT,BLACK,2XL,-,,,9900009171071
0000917108,025 HAT,BLACK,3XL,-,,,9900009171088
0000917109,025 HAT,BLACK,4XL,-,,,9900009171095
0000917110,025 HAT,BLACK,5XL,-,,,9900009171101
0000917111,025 HAT,BLACK,6XL,-,,,9900009171118
0000917112,025 HAT,BLACK,7XL,-,,,9900009171125
0000917113,025 HAT,BLACK,8XL,-,,,9900009171132
0000917114,025 HAT,BLACK,9XL,-,,,9900009171149
0001329600,025 HAT,BRN/WHITE,XXXS,-,,,9900013296005
0001329601,025 HAT,BRN/WHITE,XXS,-,,,9900013296012
0001329602,025 HAT,BRN/WHITE,XS,-,,,9900013296029
0001329603,025 HAT,BRN/WHITE,S,-,,,9900013296036
0001329604,025 HAT,BRN/WHITE,M,-,,,9900013296043
0001329605,025 HAT,BRN/WHITE,L,-,,,9900013296050
0001329606,025 HAT,BRN/WHITE,XL,-,,,9900013296067
0001329607,025 HAT,BRN/WHITE,2XL,-,,,9900013296074
0001329608,025 HAT,BRN/WHITE,3XL,-,,,9900013296081
0001329609,025 HAT,BRN/WHITE,4XL,-,,,9900013296098
0001329610,025 HAT,BRN/WHITE,5XL,-,,,9900013296104
0001329611,025 HAT,BRN/WHITE,6XL,-,,,9900013296111
0001329612,025 HAT,BRN/WHITE,7XL,-,,,9900013296128
0001329613,025 HAT,BRN/WHITE,8XL,-,,,9900013296135
0001329614,025 HAT,BRN/WHITE,9XL,-,,,9900013296142
0000918500,025 HAT,BROWN,XXXS,-,,,9900009185009
0000918501,025 HAT,BROWN,XXS,-,,,9900009185016
0000918502,025 HAT,BROWN,XS,-,,,9900009185023
0000918503,025 HAT,BROWN,S,-,,,9900009185030
0000918504,025 HAT,BROWN,M,-,,,9900009185047
0000918505,025 HAT,BROWN,L,-,,,9900009185054
0000918506,025 HAT,BROWN,XL,-,,,9900009185061
0000918507,025 HAT,BROWN,2XL,-,,,9900009185078
0000918508,025 HAT,BROWN,3XL,-,,,9900009185085
0000918509,025 HAT,BROWN,4XL,-,,,9900009185092
0000918510,025 HAT,BROWN,5XL,-,,,9900009185108
0000918511,025 HAT,BROWN,6XL,-,,,9900009185115
0000918512,025 HAT,BROWN,7XL,-,,,9900009185122
