"VS Parent ID","VS Child ID",,"Parent Reference","Child Reference",,"Parent Product Title","Child Product Title",,"Model Number",EAN,,"Price (Inc VAT)","Sale Price (Inc VAT)",,"Stock Value","Pick Location",
74,2540,,"00014373","0001437300",,"Leather Jacket Black/ani: AWL-529","Leather Jacket Black/ani: AWL-529",,AWL-529,,,249.000,159.000,,"0",Z-48,
74,459,,"00014373","0001437301",,"Leather Jacket Black/ani: AWL-529","Leather Jacket Black/ani: AWL-529",,AWL-529,5056798412148,,249.000,159.000,,7,Z-48,
74,460,,"00014373","0001437302",,"Leather Jacket Black/ani: AWL-529","Leather Jacket Black/ani: AWL-529",,AWL-529,5056798412155,,249.000,159.000,,12,Z-48,
74,461,,"00014373","0001437303",,"Leather Jacket Black/ani: AWL-529","Leather Jacket Black/ani: AWL-529",,AWL-529,5056798412162,,249.000,159.000,,2,Z-48,
74,462,,"00014373","0001437304",,"Leather Jacket Black/ani: AWL-529","Leather Jacket Black/ani: AWL-529",,AWL-529,5056798412179,,249.000,159.000,,"0",Z-48,
74,463,,"00014373","0001437305",,"Leather Jacket Black/ani: AWL-529","Leather Jacket Black/ani: AWL-529",,AWL-529,5056798412186,,249.000,159.000,,3,Z-48,
74,464,,"00014373","0001437306",,"Leather Jacket Black/ani: AWL-529","Leather Jacket Black/ani: AWL-529",,AWL-529,5056798412193,,249.000,159.000,,"0",Z-48,
74,465,,"00014373","0001437307",,"Leather Jacket Black/ani: AWL-529","Leather Jacket Black/ani: AWL-529",,AWL-529,5056798412209,,269.000,159.000,,7,Z-48,
74,466,,"00014373","0001437308",,"Leather Jacket Black/ani: AWL-529","Leather Jacket Black/ani: AWL-529",,AWL-529,5056798412216,,289.000,159.000,,1,Z-48,
74,467,,"00014373","0001437309",,"Leather Jacket Black/ani: AWL-529","Leather Jacket Black/ani: AWL-529",,AWL-529,5056798412223,,309.000,159.000,,2,Z-48,
74,2541,,"00014373","0001437310",,"Leather Jacket Black/ani: AWL-529","Leather Jacket Black/ani: AWL-529",,AWL-529,5056798459112,,329.000,159.000,,2,Z-48,
74,2542,,"00014373","0001437311",,"Leather Jacket Black/ani: AWL-529","Leather Jacket Black/ani: AWL-529",,AWL-529,,,349.000,159.000,,"0",Z-48,
75,470,,"00018418","0001841802",,"Leather Jacket Brown/nap: AWL-529","Leather Jacket Brown/nap: AWL-529",,AWL-529,5056798419017,,249.000,159.000,,3,Z-100,
75,471,,"00018418","0001841803",,"Leather Jacket Brown/nap: AWL-529","Leather Jacket Brown/nap: AWL-529",,AWL-529,5056798419024,,249.000,159.000,,2,Z-100,
75,472,,"00018418","0001841804",,"Leather Jacket Brown/nap: AWL-529","Leather Jacket Brown/nap: AWL-529",,AWL-529,5056798419031,,249.000,159.000,,1,Z-100,
