"VS Parent ID","VS Child ID",,"Parent Reference","Child Reference",,"Pick Location",,"Parent Product Images",
74,2540,,"00014373","0001437300",,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",
74,459,,"00014373","0001437301",,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",
74,460,,"00014373","0001437302",,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",
74,461,,"00014373","0001437303",,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",
74,462,,"00014373","0001437304",,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",
74,463,,"00014373","0001437305",,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",
74,464,,"00014373","0001437306",,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",
74,465,,"00014373","0001437307",,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",
74,466,,"00014373","0001437308",,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",
74,467,,"00014373","0001437309",,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",
74,2541,,"00014373","0001437310",,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",
