"VS Parent ID","VS Child ID",,"Parent Reference","Child Reference",,"Product Subtitle",,"Attribute 1 (Size)",,"Model Number",EAN,,"Pick Location",,"Parent Product Images",,"Meta Keywords",
74,2540,,"00014373","0001437300",,Black/ani,,6,,AWL-529,,,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",,"Womens Leather Jacket,Black Leather Jacket, Women Black Leather Jacket, Ladies Leather Jacket, Ladies Black Leather Jacket, Womens Leather Jackets,girl black leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,cool",
74,459,,"00014373","0001437301",,Black/ani,,8,,AWL-529,5056798412148,,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",,"Womens Leather Jacket,Black Leather Jacket, Women Black Leather Jacket, Ladies Leather Jacket, Ladies Black Leather Jacket, Womens Leather Jackets,girl black leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,cool",
74,460,,"00014373","0001437302",,Black/ani,,10,,AWL-529,5056798412155,,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",,"Womens Leather Jacket,Black Leather Jacket, Women Black Leather Jacket, Ladies Leather Jacket, Ladies Black Leather Jacket, Womens Leather Jackets,girl black leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,cool",
74,461,,"00014373","0001437303",,Black/ani,,12,,AWL-529,5056798412162,,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",,"Womens Leather Jacket,Black Leather Jacket, Women Black Leather Jacket, Ladies Leather Jacket, Ladies Black Leather Jacket, Womens Leather Jackets,girl black leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,cool",
74,462,,"00014373","0001437304",,Black/ani,,14,,AWL-529,5056798412179,,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",,"Womens Leather Jacket,Black Leather Jacket, Women Black Leather Jacket, Ladies Leather Jacket, Ladies Black Leather Jacket, Womens Leather Jackets,girl black leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,cool",
74,463,,"00014373","0001437305",,Black/ani,,16,,AWL-529,5056798412186,,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",,"Womens Leather Jacket,Black Leather Jacket, Women Black Leather Jacket, Ladies Leather Jacket, Ladies Black Leather Jacket, Womens Leather Jackets,girl black leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,cool",
74,464,,"00014373","0001437306",,Black/ani,,18,,AWL-529,5056798412193,,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",,"Womens Leather Jacket,Black Leather Jacket, Women Black Leather Jacket, Ladies Leather Jacket, Ladies Black Leather Jacket, Womens Leather Jackets,girl black leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,cool",
74,465,,"00014373","0001437307",,Black/ani,,20,,AWL-529,5056798412209,,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",,"Womens Leather Jacket,Black Leather Jacket, Women Black Leather Jacket, Ladies Leather Jacket, Ladies Black Leather Jacket, Womens Leather Jackets,girl black leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,cool",
74,466,,"00014373","0001437308",,Black/ani,,22,,AWL-529,5056798412216,,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",,"Womens Leather Jacket,Black Leather Jacket, Women Black Leather Jacket, Ladies Leather Jacket, Ladies Black Leather Jacket, Womens Leather Jackets,girl black leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,cool",
74,467,,"00014373","0001437309",,Black/ani,,24,,AWL-529,5056798412223,,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",,"Womens Leather Jacket,Black Leather Jacket, Women Black Leather Jacket, Ladies Leather Jacket, Ladies Black Leather Jacket, Womens Leather Jackets,girl black leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,cool",
